Country,Code,Year,Per capita CO2 emissions
World,OWID_WRL,1750,0.011522
World,OWID_WRL,1800,0.028381
World,OWID_WRL,1850,0.155935
World,OWID_WRL,1900,1.184009
World,OWID_WRL,1901,1.215954
World,OWID_WRL,1902,1.239491
World,OWID_WRL,1903,1.344321
World,OWID_WRL,1904,1.35053
World,OWID_WRL,1905,1.429727
World,OWID_WRL,1906,1.493212
World,OWID_WRL,1907,1.67838
World,OWID_WRL,1908,1.606006
World,OWID_WRL,1909,1.660943
World,OWID_WRL,1910,1.732661
World,OWID_WRL,1911,1.754683
World,OWID_WRL,1912,1.828006
World,OWID_WRL,1913,1.967236
World,OWID_WRL,1914,1.775218
World,OWID_WRL,1915,1.741021
World,OWID_WRL,1916,1.868069
World,OWID_WRL,1917,1.94154
World,OWID_WRL,1918,1.901235
World,OWID_WRL,1919,1.636391
World,OWID_WRL,1920,1.888922
World,OWID_WRL,1921,1.643535
World,OWID_WRL,1922,1.708367
World,OWID_WRL,1923,1.920065
World,OWID_WRL,1924,1.90686
World,OWID_WRL,1925,1.90024
World,OWID_WRL,1926,1.844947
World,OWID_WRL,1927,1.992224
World,OWID_WRL,1928,1.959649
World,OWID_WRL,1929,2.079333
World,OWID_WRL,1930,1.893429
World,OWID_WRL,1931,1.67165
World,OWID_WRL,1932,1.488632
World,OWID_WRL,1933,1.548614
World,OWID_WRL,1934,1.664589
World,OWID_WRL,1935,1.726875
World,OWID_WRL,1936,1.876767
World,OWID_WRL,1937,1.986317
World,OWID_WRL,1938,1.851803
World,OWID_WRL,1939,1.942568
World,OWID_WRL,1940,2.107428
World,OWID_WRL,1941,2.141469
World,OWID_WRL,1942,2.121458
World,OWID_WRL,1943,2.146058
World,OWID_WRL,1944,2.169197
World,OWID_WRL,1945,1.791955
World,OWID_WRL,1946,1.941192
World,OWID_WRL,1947,2.128672
World,OWID_WRL,1948,2.214238
World,OWID_WRL,1949,2.117774
World,OWID_WRL,1950,2.364878
World,OWID_WRL,1951,2.466603
World,OWID_WRL,1952,2.455531
World,OWID_WRL,1953,2.480491
World,OWID_WRL,1954,2.490027
World,OWID_WRL,1955,2.681927
World,OWID_WRL,1956,2.805339
World,OWID_WRL,1957,2.846665
World,OWID_WRL,1958,2.875261
World,OWID_WRL,1959,2.969721
World,OWID_WRL,1960,3.075798
World,OWID_WRL,1961,3.026027
World,OWID_WRL,1962,3.074989
World,OWID_WRL,1963,3.1878
World,OWID_WRL,1964,3.289457
World,OWID_WRL,1965,3.374459
World,OWID_WRL,1966,3.460711
World,OWID_WRL,1967,3.498793
World,OWID_WRL,1968,3.614145
World,OWID_WRL,1969,3.776351
World,OWID_WRL,1970,4.006787
World,OWID_WRL,1971,4.085491
World,OWID_WRL,1972,4.191087
World,OWID_WRL,1973,4.328325
World,OWID_WRL,1974,4.227458
World,OWID_WRL,1975,4.143413
World,OWID_WRL,1976,4.284281
World,OWID_WRL,1977,4.323894
World,OWID_WRL,1978,4.404387
World,OWID_WRL,1979,4.443377
World,OWID_WRL,1980,4.344872
World,OWID_WRL,1981,4.152828
World,OWID_WRL,1982,4.050119
World,OWID_WRL,1983,4.016597
World,OWID_WRL,1984,4.060658
World,OWID_WRL,1985,4.129983
World,OWID_WRL,1986,4.112774
World,OWID_WRL,1987,4.168751
World,OWID_WRL,1988,4.249594
World,OWID_WRL,1989,4.237444
World,OWID_WRL,1990,4.260677
World,OWID_WRL,1991,4.27933
World,OWID_WRL,1992,4.081702
World,OWID_WRL,1993,4.063819
World,OWID_WRL,1994,4.03376
World,OWID_WRL,1995,4.061855
World,OWID_WRL,1996,4.128977
World,OWID_WRL,1997,4.096691
World,OWID_WRL,1998,4.028897
World,OWID_WRL,1999,4.028708
World,OWID_WRL,2000,4.088722
World,OWID_WRL,2001,4.070982
World,OWID_WRL,2002,4.11173
World,OWID_WRL,2003,4.258799
World,OWID_WRL,2004,4.4064
World,OWID_WRL,2005,4.495767
World,OWID_WRL,2006,4.585864
World,OWID_WRL,2007,4.666584
World,OWID_WRL,2008,4.705497
World,OWID_WRL,2009,4.578098
World,OWID_WRL,2010,4.762505
World,OWID_WRL,2011,4.858492
World,OWID_WRL,2012,4.878031
World,OWID_WRL,2013,4.852211
World,OWID_WRL,2014,4.831181
World,OWID_WRL,2015,4.771059
World,OWID_WRL,2016,4.718691
World,OWID_WRL,2017,4.729334
World,OWID_WRL,2018,4.772543
World,OWID_WRL,2019,4.724384
